doc_id,original_length,cleaned_length,token_count
0,73,73,8
1,63,59,9
2,81,79,7
3,85,84,9
4,405,398,26
5,107,107,11
6,95,94,9
7,43,37,3
8,468,468,70
9,580,576,57
10,248,248,40
11,292,290,44
12,269,266,41
13,106,106,19
14,171,170,17
15,253,252,34
16,232,230,34
17,414,410,56
18,47,47,9
19,238,231,23
20,168,154,18
21,317,315,42
22,210,210,31
23,570,567,86
24,582,567,42
25,579,571,45
26,605,598,58
27,141,139,23
28,476,468,42
29,139,139,19
30,294,286,25
31,324,320,30
32,952,941,78
33,285,275,20
34,219,214,17
35,84,84,11
36,488,481,39
37,740,723,56
38,553,539,42
39,520,508,42
40,864,847,60
41,435,412,29
42,495,481,43
43,425,417,33
44,746,729,57
45,163,163,26
46,582,568,42
47,819,808,61
48,60,59,6
49,186,176,27
50,761,742,56
51,108,108,11
52,344,324,32
53,44,44,5
54,119,117,9
55,139,131,11
56,85,82,12
57,194,189,28
58,21,21,3
59,168,167,16
60,190,185,17
61,81,80,14
62,586,586,47
63,163,158,20
64,347,343,30
65,103,100,16
66,158,156,12
67,21,21,4
68,87,82,10
69,258,251,26
70,107,102,8
71,128,128,9
72,205,197,30
73,15,14,1
74,191,186,20
75,43,41,3
76,259,258,19
77,416,416,50
78,192,192,35
79,122,116,14
80,64,64,7
81,24,20,1
82,25,23,3
83,198,196,23
84,17,17,1
85,46,46,9
86,16,16,2
87,22,21,1
88,62,62,4
89,12,12,1
90,16,16,2
91,91,87,8
92,28,27,3
93,69,65,4
94,526,467,35
95,78,77,7
96,217,210,16
97,177,177,28
98,56,56,9
99,151,151,20
100,462,461,60
101,297,292,25
102,148,148,10
103,48,48,4
104,360,352,26
105,595,591,61
106,355,353,32
107,285,279,22
108,387,386,41
109,445,439,35
110,249,246,17
111,507,500,44
112,57,57,6
113,329,326,24
114,155,151,13
115,843,836,65
116,86,86,9
117,500,499,36
118,30,30,4
119,19,19,1
120,226,225,16
121,416,414,32
122,427,421,28
123,145,143,11
124,72,72,12
125,267,267,25
126,252,250,17
127,796,782,68
128,64,64,7
129,115,115,18
130,193,192,12
131,115,115,11
132,306,306,44
133,16,16,2
134,389,386,29
135,74,74,6
136,80,78,8
137,210,210,17
138,91,90,14
139,40,39,2
140,65,65,6
141,89,89,15
142,50,50,7
143,146,144,11
144,381,379,57
145,67,67,10
146,46,46,4
147,50,50,5
148,937,936,134
149,38,38,4
150,78,76,7
151,85,85,11
152,13,13,1
153,13,13,1
154,228,225,16
155,56,56,11
156,13,13,1
157,94,94,17
158,22,22,2
159,305,302,27
160,26,25,2
161,146,137,10
162,19,18,1
163,331,327,24
164,50,49,6
165,85,85,7
166,346,344,57
167,70,70,12
168,44,44,5
169,69,67,7
170,29,29,3
171,60,60,4
172,117,112,7
173,49,49,7
174,56,56,10
175,42,41,8
176,28,27,4
177,68,67,5
178,72,72,11
179,17,17,3
180,63,62,5
181,39,38,4
182,41,40,5
183,42,42,5
184,97,96,7
185,240,236,40
186,46,43,3
187,271,269,25
188,23,23,3
189,14,14,2
190,58,58,6
191,31,31,5
192,73,73,5
193,15,15,2
194,36,36,5
195,42,41,3
196,25,25,5
197,69,69,10
198,15,15,4
199,99,99,19
200,57,56,9
201,115,113,10
202,250,250,22
203,862,838,59
204,49,49,8
205,93,92,10
206,210,205,29
207,69,68,8
208,31,28,5
209,28,28,3
210,101,100,19
211,45,44,4
212,30,30,5
213,905,895,75
214,200,199,22
215,152,151,10
216,157,157,24
217,337,336,52
218,75,75,6
219,216,214,16
220,24,24,4
221,229,228,22
222,75,75,5
223,174,174,14
224,337,335,33
225,264,259,23
226,333,328,38
227,135,135,10
228,211,211,16
229,111,111,11
230,123,117,10
231,277,276,41
232,29,29,5
233,33,33,3
234,719,716,63
235,258,253,19
236,445,440,32
237,679,674,42
238,79,78,7
239,56,56,5
240,220,216,36
241,111,111,18
242,120,119,11
243,60,58,5
244,332,330,63
245,537,531,67
246,278,273,45
247,130,129,26
248,96,96,16
249,501,494,80
250,57,57,12
251,45,45,4
252,200,200,20
253,248,242,28
254,124,123,21
255,29,29,7
256,248,246,42
257,25,25,3
258,89,88,12
259,88,88,16
260,29,29,5
261,28,28,4
262,76,75,6
263,130,130,24
264,32,32,6
265,40,40,7
266,172,166,26
267,80,79,9
268,61,61,10
269,153,152,12
270,77,76,14
271,58,58,9
272,318,317,47
273,119,119,24
274,104,104,19
275,55,55,11
276,82,82,15
277,60,60,13
278,208,207,31
279,145,145,22
280,77,76,15
281,165,163,21
282,47,47,10
283,250,248,37
284,79,79,14
285,76,76,15
286,293,291,42
287,58,58,10
288,174,171,29
289,51,51,8
290,41,41,7
291,12,12,3
292,76,76,14
293,89,88,13
294,106,106,22
295,19,19,3
296,334,332,45
297,176,172,27
298,459,458,83
299,146,146,23
300,59,59,8
301,199,194,16
302,49,49,10
303,59,59,13
304,20,20,3
305,34,34,4
306,15,15,2
307,101,101,18
308,247,245,19
309,45,45,6
310,292,287,45
311,193,193,25
312,150,150,14
313,22,22,3
314,102,102,15
315,209,209,36
316,40,39,6
317,16,15,2
318,107,103,10
319,28,28,5
320,32,32,6
321,49,49,8
322,47,47,9
323,31,31,6
