word,frequency,percentage,length,category
ang,95,5.95,3,Uncategorized
university,76,4.76,10,Uncategorized
mga,65,4.07,3,Uncategorized
usc,56,3.51,3,Uncategorized
student,45,2.82,7,Uncategorized
san,41,2.57,3,Uncategorized
carlos,40,2.51,6,Uncategorized
nga,38,2.38,3,Uncategorized
cebu,37,2.32,4,Uncategorized
lang,37,2.32,4,Uncategorized
school,28,1.75,6,Uncategorized
internet,27,1.69,8,Uncategorized
kay,25,1.57,3,Uncategorized
yung,21,1.32,4,Uncategorized
sila,20,1.25,4,Uncategorized
like,19,1.19,4,Uncategorized
course,19,1.19,6,Uncategorized
philippine,18,1.13,10,Uncategorized
npa,18,1.13,3,Uncategorized
college,18,1.13,7,Uncategorized
man,17,1.07,3,Uncategorized
pero,16,1.0,4,Uncategorized
hindi,16,1.0,5,Uncategorized
ranking,16,1.0,7,Uncategorized
naa,16,1.0,3,Uncategorized
mag,15,0.94,3,Uncategorized
para,14,0.88,4,Uncategorized
city,14,0.88,4,Uncategorized
ako,13,0.81,3,Uncategorized
kung,13,0.81,4,Uncategorized
nag,13,0.81,3,Uncategorized
thank,13,0.81,5,Uncategorized
heard,13,0.81,5,Uncategorized
survey,13,0.81,6,Uncategorized
talaga,12,0.75,6,Uncategorized
nila,12,0.75,4,Uncategorized
ask,12,0.75,3,Uncategorized
ilang,12,0.75,5,Uncategorized
terminal,12,0.75,8,Uncategorized
anyone,12,0.75,6,Uncategorized
kaayo,12,0.75,5,Uncategorized
wala,12,0.75,4,Uncategorized
really,12,0.75,6,Uncategorized
fee,11,0.69,3,Uncategorized
naay,11,0.69,4,Uncategorized
psychology,11,0.69,10,Uncategorized
history,11,0.69,7,Uncategorized
especially,10,0.63,10,Uncategorized
diay,10,0.63,4,Uncategorized
sure,10,0.63,4,Uncategorized
since,10,0.63,5,Uncategorized
offer,10,0.63,5,Uncategorized
jud,10,0.63,3,Uncategorized
life,10,0.63,4,Uncategorized
mao,10,0.63,3,Uncategorized
degree,10,0.63,6,Uncategorized
lot,10,0.63,3,Uncategorized
lol,10,0.63,3,Uncategorized
siya,10,0.63,4,Uncategorized
world,9,0.56,5,Uncategorized
hello,9,0.56,5,Uncategorized
point,9,0.56,5,Uncategorized
social,9,0.56,6,Uncategorized
medium,9,0.56,6,Uncategorized
year,9,0.56,4,Uncategorized
political,9,0.56,9,Uncategorized
naman,9,0.56,5,Uncategorized
mapua,9,0.56,5,Uncategorized
sem,9,0.56,3,Uncategorized
silliman,8,0.5,8,Uncategorized
information,8,0.5,11,Uncategorized
anakbayan,8,0.5,9,Uncategorized
per,8,0.5,3,Uncategorized
engineering,8,0.5,11,Uncategorized
nako,8,0.5,4,Uncategorized
choice,8,0.5,6,Uncategorized
subject,8,0.5,7,Uncategorized
however,8,0.5,7,Uncategorized
friend,8,0.5,6,Uncategorized
group,8,0.5,5,Uncategorized
remember,8,0.5,8,Uncategorized
kayo,8,0.5,4,Uncategorized
country,8,0.5,7,Uncategorized
term,8,0.5,4,Uncategorized
yan,8,0.5,3,Uncategorized
week,8,0.5,4,Uncategorized
pari,8,0.5,4,Uncategorized
taking,7,0.44,6,Uncategorized
bakit,7,0.44,5,Uncategorized
